pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
3903.01,14.8496574,9.3235,5296.6,0.96,1.0,1.0,2016.0,Transit,0
TOI-270 b,3.36008,1.247,3386.0,0.38,1.0,3.0,2019.0,Transit,1
Kepler-169 b,3.250641,3.35,5058.0,1.86,1.0,5.0,2014.0,Transit,1
Kepler-1722 b,9.178475,2.2,5506.0,0.8,1.0,1.0,2021.0,Transit,1
5187.01,17.8597459,6.12838,6263.0,1.3,1.0,1.0,2016.0,Transit,0
Kepler-423 b,2.684328485,12.43,5970.0,0.908,1.0,1.0,2014.0,Transit,1
TOI-1823 b,38.8135498,8.20695,4760.0,0.82,1.0,1.0,2024.0,Transit,1
WASP-165 b,3.4655064,2.4,5599.0,1.75,1.0,1.0,2018.0,Transit,1
HD 23079 c,5.748913,2.4,5994.0,1.08,1.0,2.0,2025.0,Radial Velocity,1
1084.01,1.3484961,15.8824638,6346.0,1.14759,1.0,1.0,2016.0,Transit,0
HD 104985 b,198.2,2.4,4679.37,11.6298,1.0,1.0,2003.0,Radial Velocity,1
TOI-1246 c,5.904144,2.51,5151.0,0.86,1.0,4.0,2022.0,Transit,1
4443.01,1.8498567,1.7193265,5834.0,1.0173301,1.0,1.0,2016.0,Transit,0
HD 134606 e,4.3203,2.4,5576.0,1.158,1.0,5.0,2024.0,Radial Velocity,1
Kepler-268 b,25.934138,2.55,6081.0,1.274,1.0,2.0,2014.0,Transit,1
Kepler-776 b,4.897134,1.5,5023.0,0.73,1.0,1.0,2016.0,Transit,1
715.01,19.2879579,1.7145308,3075.0,0.229824,1.0,1.0,2016.0,Transit,0
7109.01,3.2396607,2.4,5550.5,0.95,1.0,1.0,2016.0,Transit,0
TOI-216.01,34.5073,2.4,5026.0,0.838,1.0,2.0,2019.0,Transit,1
1655.01,3.2786617,3.61232,5411.0,1.15,1.0,1.0,2016.0,Transit,0
3457.01,32.6012979,9.18821,6067.8,1.35,1.0,1.0,2016.0,Transit,0
K2-223 b,0.50557,0.90973766,5859.0,1.013236,1.0,2.0,2018.0,Transit,1
Kepler-953 b,88.40678718,4.55,5611.0,1.073,1.0,2.0,2016.0,Transit,1
Kepler-79 e,81.0632,3.0,6405.0,1.1,1.0,4.0,2014.0,Transit,1
Kepler-576 b,29.91136794,4.06,5589.0,1.218,1.0,1.0,2016.0,Transit,1
HD 121504 b,63.33,2.4,6027.0,1.07,1.0,1.0,2003.0,Radial Velocity,1
5445.01,6.3780197,18.7767,6540.2,2.03,1.0,1.0,2016.0,Transit,0
TOI-1347 c,4.841962,1.6,5464.0,0.83,1.0,2.0,2024.0,Transit,1
2075.01,4.7981694,2.3133532,4065.0,0.667797,1.0,1.0,2016.0,Transit,0
901.01,3.2308423,11.144364,7062.0,1.38436,1.0,1.0,2016.0,Transit,0
Kepler-305 b,5.48711079,3.5,5106.0,0.803,1.0,4.0,2013.0,Transit,1
KELT-14 b,1.7100529,2.4,5720.0,1.52,1.0,1.0,2016.0,Transit,1
2202.01,11.9124942,11.3754057,5064.0,0.823883,1.0,1.0,2016.0,Transit,0
HD 5583 b,139.35,2.4,4830.0,9.09,1.0,1.0,2016.0,Radial Velocity,1
HD 43197 c,9295.9735,2.4,5550.5,0.95,1.0,2.0,2022.0,Radial Velocity,1
GJ 1148 b,41.397,2.4,3287.0,0.358519,1.0,2.0,2010.0,Radial Velocity,1
2051.01,1.1633325,5.5717234,11265.0,2.61707,1.0,1.0,2016.0,Transit,0
6287.01,1.640758,8.61251,6262.0,1.52,1.0,1.0,2016.0,Transit,0
6397.01,1.6707289,17.2506,5041.0,0.93,1.0,1.0,2016.0,Transit,0
4079.01,1.9872259,15.6112,6178.0,1.08,1.0,1.0,2016.0,Transit,0
Kepler-1032 b,3.29012003,2.4,4446.0,0.95,1.0,1.0,2016.0,Transit,1
Kepler-1195 b,8.496449,2.3,5132.0,0.75,1.0,1.0,2016.0,Transit,1
513.01,1.445433,3.493627,3266.0,0.269,1.0,1.0,2016.0,Transit,0
Kepler-561 b,58.3620495,7.04,5592.0,0.953,1.0,2.0,2016.0,Transit,1
2491.01,5.92777,20.4068988,8343.0,1.55754,1.0,1.0,2016.0,Transit,0
522.01,0.3969687,2.108062,7381.0,1.86219,1.0,1.0,2016.0,Transit,0
TOI-125 c,9.15067,2.79,5282.0,0.852,1.0,3.0,2019.0,Transit,1
3367.01,3.7493233,2.4,5550.5,0.95,1.0,1.0,2016.0,Transit,0
6319.01,3.2964006,16.9987,5883.0,2.09,1.0,1.0,2016.0,Transit,0
GJ 9066 c,771.36,2.4,3154.0,0.164,1.0,1.0,2020.0,Radial Velocity,1
6175.01,4.1877227,13.6598,5543.0,1.05,1.0,1.0,2016.0,Transit,0
7282.01,5.3346707,11.1383,5509.3,1.07,1.0,1.0,2016.0,Transit,0
K2-370 b,2.1408063,2.59639,5372.0,1.0,1.0,1.0,2022.0,Transit,1
HAT-P-5 b,2.78847226599,13.94326447,5833.0,1.12956,1.0,1.0,2007.0,Transit,1
Kepler-934 b,55.6733922147,2.4,4859.0,0.813889,1.0,1.0,2016.0,Transit,1
7478.01,3.1432403,2.4,5780.0,0.95,1.0,1.0,2016.0,Transit,0
3469.01,2.6566986,17.7901,6823.0,1.67,1.0,1.0,2016.0,Transit,0
4933.01,5.3861006,2.4,5623.3,0.95,1.0,1.0,2016.0,Transit,0
1169.01,6.7075429,17.4647,6134.3,1.24,1.0,1.0,2016.0,Transit,0
TOI-3976 A b,6.607662,12.27383387,5975.0,1.501,2.0,1.0,2023.0,Transit,1
5942.01,1.6540803,15.2145,6453.0,2.51,1.0,1.0,2016.0,Transit,0
1553.01,5.9382163,18.5099,6775.5,2.09,1.0,1.0,2016.0,Transit,0
TOI-132 b,2.1096804606,3.63967252,5673.0,0.940806,1.0,1.0,2020.0,Transit,1
6724.01,42.8614655,4.13549,5703.4,1.61,1.0,1.0,2016.0,Transit,0
GJ 229 b,579.47495,2.4,5550.5,0.95,3.0,2.0,2014.0,Radial Velocity,1
762.01,3.4716808,8.027234,3399.0,0.426785,1.0,1.0,2016.0,Transit,0
Kepler-1335 b,6.26406846,1.61,5032.0,0.817,1.0,1.0,2016.0,Transit,1
KOI-142 b,10.916108342,2.4,5368.85,0.95577,1.0,3.0,2013.0,Transit,1
4666.01,2.9093856,12.8688,3666.0,0.59,1.0,1.0,2016.0,Transit,0
5352.01,2.0389145,8.65136,6396.0,1.36,1.0,1.0,2016.0,Transit,0
K2-43 c,2.198884,2.42,3840.6,0.542,1.0,2.0,2019.0,Transit,1
HAT-P-46 b,4.4631365,2.4,7587.0,1.39514,1.0,1.0,2014.0,Transit,1
3121.01,5.5167527,21.0821,6296.0,1.81,1.0,1.0,2016.0,Transit,0
3529.01,2.5850398,14.2221,5770.0,1.2,1.0,1.0,2016.0,Transit,0
HD 169830 c,1832.0,2.4,5550.5,0.95,1.0,2.0,2003.0,Radial Velocity,1
Kepler-1339 b,1.341555127,1.08,5738.0,1.407,1.0,1.0,2016.0,Transit,1
HIP 41378 e,369.0,4.92,6320.0,1.273,1.0,6.0,2016.0,Transit,1
Kepler-343 c,23.2218189,1.53,6122.0,1.047,1.0,2.0,2014.0,Transit,1
4459.01,5.7475343,6.43097,3750.0,0.58,1.0,1.0,2016.0,Transit,0
TYC 2187-512-1 b,691.9,2.4,3734.0,0.495,1.0,1.0,2022.0,Radial Velocity,1
HD 188015 b,462.59,2.4,5649.5,1.125296,2.0,1.0,2004.0,Radial Velocity,1
HAT-P-59 b,4.1419771,12.58768533,5678.0,1.1038,1.0,1.0,2021.0,Transit,1
Kepler-402 b,4.02875481,1.37,6199.0,1.24,1.0,4.0,2014.0,Transit,1
5822.01,1.5487245,14.506178,5887.35,1.41021,1.0,1.0,2016.0,Transit,0
1913.01,3.3489038,13.011038,5711.0,1.2295901,1.0,1.0,2016.0,Transit,0
HD 99706 c,1278.0,2.4,5550.5,0.95,1.0,2.0,2018.0,Radial Velocity,1
Kepler-163 c,21.3473612,2.23,5772.0,0.901,1.0,2.0,2014.0,Transit,1
Kepler-1129 c,76.5369531,2.4,5595.1,1.03118,1.0,2.0,2016.0,Transit,1
251.01,4.9377227,2.8269897,5862.0,0.955756,1.0,1.0,2016.0,Transit,0
633.01,4.503645,11.197034,3267.0,1.0,1.0,1.0,2016.0,Transit,0
TOI-4184 b,4.90199383996,2.55541453,3147.0,0.240807,1.0,1.0,2023.0,Transit,1
WASP-83 b,4.9712917,2.4,5510.0,1.05,1.0,1.0,2015.0,Transit,1
6964.01,4.7645838,3.1594083,5432.25,1.0462199,1.0,1.0,2016.0,Transit,0
Kepler-1043 b,38.505224,2.45,5974.0,0.881,1.0,1.0,2016.0,Transit,1
6768.01,4.8741147,14.8251,6085.0,2.11,1.0,1.0,2016.0,Transit,0
1100.01,20.0731588,4.0506906,6033.0,1.14849,1.0,1.0,2016.0,Transit,0
3412.01,3.1405783,11.93,5636.0,1.26,1.0,1.0,2016.0,Transit,0
6596.01,26.1622122,10.1227,6139.0,1.14,1.0,1.0,2016.0,Transit,0
4705.01,11.9140328,9.89059,5359.0,1.77,1.0,1.0,2016.0,Transit,0
6522.01,4.7383479,4.7507,5109.0,0.89,1.0,1.0,2016.0,Transit,0
K2-54 b,9.7833,2.6116925,3990.0,0.643,1.0,1.0,2016.0,Transit,1
6172.01,6.1429164,7.50153,6291.9,1.38,1.0,1.0,2016.0,Transit,0
2759.01,1.5971584,17.7465,6033.0,2.06,1.0,1.0,2016.0,Transit,0
2870.01,5.7655904,19.7343,5409.0,2.0,1.0,1.0,2016.0,Transit,0
3478.01,1.82856,20.4999,6078.0,1.53,1.0,1.0,2016.0,Transit,0
6803.01,3.3522572,10.9307,5951.0,1.39,1.0,1.0,2016.0,Transit,0
7499.01,3.8304162,13.6062073,5770.0,1.2148,1.0,1.0,2016.0,Transit,0
HD 100777 b,383.0,2.4,5550.5,0.95,1.0,1.0,2007.0,Radial Velocity,1
2234.01,2.91615,13.4791,6103.0,2.69,1.0,1.0,2016.0,Transit,0
K2-131 b,0.369311,1.76156914,5113.0,0.765322,1.0,1.0,2017.0,Transit,1
TIC 434398831 c,6.210291,5.63,5638.0,0.909,1.0,2.0,2025.0,Transit,1
1300.01,2.8716983,18.1267,6840.0,1.91,1.0,1.0,2016.0,Transit,0
Kepler-594 b,13.64618192,2.13,5575.0,0.834,1.0,1.0,2016.0,Transit,1
Kepler-527 b,13.28534769,2.4,6283.5,1.22347,1.0,1.0,2016.0,Transit,1
HD 159868 c,352.3,2.4,5558.0,0.95,1.0,2.0,2012.0,Radial Velocity,1
2511.01,0.7951534,9.70612,6811.0,1.96,1.0,1.0,2016.0,Transit,0
Kepler-321 c,13.093922,2.34,5692.0,0.909,1.0,2.0,2014.0,Transit,1
BD-08 2823 b,5.6,2.4,4746.0,0.95,1.0,2.0,2009.0,Radial Velocity,1
885.01,2.56876,17.6099,4312.9,8.43,1.0,1.0,2016.0,Transit,0
iot Dra b,511.098,2.4,4548.0,0.95,1.0,2.0,2002.0,Radial Velocity,1
Kepler-415 c,8.70797904,2.81,4586.0,0.7,1.0,2.0,2014.0,Transit Timing Variations,1
Kepler-85 d,17.9138906166,2.4,5495.0,0.864111,1.0,4.0,2014.0,Transit,1
2922.01,1.3605223,5.14347,5924.0,1.15,1.0,1.0,2016.0,Transit,0
Kepler-55 d,2.211122847,1.64,4505.0,0.658,1.0,5.0,2014.0,Transit,1
HD 134987 b,258.19,2.4,5585.0,1.25,1.0,2.0,1999.0,Radial Velocity,1
TOI-1685 b,0.66913924,1.37,5550.5,0.95,1.0,1.0,2021.0,Transit,1
K2-340 b,29.7361,3.52,5550.5,1.144,1.0,1.0,2021.0,Transit,1
5977.01,0.4317124,8.4942819,3180.0,0.58914,1.0,1.0,2016.0,Transit,0
4526.01,2.2602655,2.7262374,3236.0,0.341024,1.0,1.0,2016.0,Transit,0
HD 59686 A b,299.36,2.4,4658.0,13.2,2.0,1.0,2016.0,Radial Velocity,1
4372.01,3.2751914,2.81574,5496.0,1.03,1.0,1.0,2016.0,Transit,0
gam Lib c,966.49,2.4,4879.0,12.38,1.0,2.0,2018.0,Radial Velocity,1
1536.01,2.013653,9.0269074,10310.0,2.67713,1.0,1.0,2016.0,Transit,0
HD 13808 b,14.1815,2.4,5035.0,0.781,1.0,2.0,2021.0,Radial Velocity,1
7416.01,0.3013943,7.35109,5223.8,0.78,1.0,1.0,2016.0,Transit,0
GJ 273 c,4.7234,2.4,3382.0,0.293,1.0,2.0,2017.0,Radial Velocity,1
270.02,11.3795653,2.2539464,3551.0,0.374358,1.0,1.0,2016.0,Transit,0
Kepler-382 c,12.16281552,1.68,5594.0,0.935,1.0,2.0,2014.0,Transit,1
7284.01,0.8760587,14.6319,6306.0,1.41,1.0,1.0,2016.0,Transit,0
6276.03,7.8708661,1.0314874,4633.87,0.630715,1.0,1.0,2016.0,Transit,0
BD+55 362 b,265.59,2.4,5012.0,0.95,1.0,1.0,2021.0,Radial Velocity,1
2620.01,10.3558635,17.6401,5896.0,1.26,1.0,1.0,2016.0,Transit,0
EPIC 206317286 b,1.58252,0.96,5550.5,0.95,1.0,2.0,2019.0,Transit,1
3770.01,0.9183768,7.7093,5176.0,0.9,1.0,1.0,2016.0,Transit,0
TOI-1408 c,2.2222094,1.39527,6594.0,1.49,1.0,2.0,2024.0,Transit Timing Variations,1
3609.01,6.3854622,9.57629,5519.0,1.17,1.0,1.0,2016.0,Transit,0
HATS-45 b,4.1876183,2.4,5550.5,0.95,1.0,1.0,2018.0,Transit,1
TOI-622 b,6.402513,9.2362001,6400.0,1.415,1.0,1.0,2023.0,Transit,1
K2-247 c,6.49424,2.19,4667.0,0.69,1.0,2.0,2018.0,Transit,1
IC 4651 9122 b,734.0,2.4,5550.5,0.95,1.0,1.0,2018.0,Radial Velocity,1
Kepler-192 b,9.92672514,2.66,5527.0,0.981,1.0,3.0,2014.0,Transit,1
4806.01,8.4476983,4.97976,5902.0,1.13,1.0,1.0,2016.0,Transit,0
Kepler-839 b,37.8144514,2.29,6228.0,1.138,1.0,1.0,2016.0,Transit,1
922.01,9.46516,2.4,4120.0,0.95,1.0,1.0,2016.0,Transit,0
TOI-2136 b,7.85190820405,2.17058026,3384.0,0.34388,1.0,1.0,2022.0,Transit,1
HAT-P-13 c,445.82,2.4,5550.5,0.95,1.0,2.0,2009.0,Radial Velocity,1
Kepler-1991 c,22.79020351,2.57,5478.0,1.053,1.0,2.0,2023.0,Transit,1
4346.01,3.9077116,1.5722799,3917.0,0.64011,1.0,1.0,2016.0,Transit,0
Kepler-648 b,17.4211749,2.85,5796.0,0.871,1.0,1.0,2016.0,Transit,1
Kepler-36 c,16.230685,3.44,5973.0,1.61,1.0,2.0,2012.0,Transit,1
6825.01,16.4547455,4.11474,5826.0,0.98,1.0,1.0,2016.0,Transit,0
3234.01,10.7012764,19.1102,5853.2,1.17,1.0,1.0,2016.0,Transit,0
1635.01,34.9270483,18.8285063,3496.0,0.389199,1.0,1.0,2016.0,Transit,0
BD-17 63 b,655.59998,2.4,4665.0,0.74,1.0,1.0,2008.0,Radial Velocity,1
Kepler-845 b,0.92785928,2.4,4655.78,0.766119,1.0,1.0,2016.0,Transit,1
3715.01,2.4713543,21.0203111,6351.8,2.0498199,1.0,1.0,2016.0,Transit,0
Kepler-298 d,77.4814,2.55,4655.0,0.635,1.0,3.0,2014.0,Transit,1
2477.01,34.7769296,12.9584,7505.2,1.96,1.0,1.0,2016.0,Transit,0
Kepler-1751 b,7.017310143,1.82417378,6052.0,0.967,1.0,1.0,2021.0,Transit,1
6650.02,30.5055627,5.65993,6500.6,1.37,1.0,1.0,2016.0,Transit,0
HD 103774 b,5.8881,2.4,6489.0,0.95,2.0,1.0,2013.0,Radial Velocity,1
6043.01,2.6452121,12.7803657,5596.0,1.2406,1.0,1.0,2016.0,Transit,0
HD 8673 b,1644.69097,2.4,5550.5,0.95,2.0,1.0,2009.0,Radial Velocity,1
K2-141 b,0.2803244,1.51,4570.0,0.681,1.0,2.0,2018.0,Transit,1
920.01,19.2998,2.4,3818.0,0.95,1.0,1.0,2016.0,Transit,0
HD 114082 b,109.75,11.2089807,6651.0,1.49,1.0,1.0,2022.0,Radial Velocity,1
Kepler-128 c,22.8030252,1.29,6063.0,1.613,1.0,2.0,2013.0,Transit,1
KOI-94 b,3.743175556,1.58,6210.0,1.32,2.0,4.0,2013.0,Transit,1
6339.01,2.5938771,4.93408,6110.0,1.55,1.0,1.0,2016.0,Transit,0
HD 218566 b,225.17,2.4,4942.85,0.830795,1.0,1.0,2010.0,Radial Velocity,1
5530.01,0.4774382,1.118031,3888.0,0.525437,1.0,1.0,2016.0,Transit,0
Kepler-142 b,2.024145594,1.98,5726.0,1.243,1.0,3.0,2014.0,Transit,1
Kepler-137 c,18.735721,2.21,5348.0,0.858,1.0,2.0,2014.0,Transit,1
2460.01,0.515461,6.5688522,5994.0,1.03783,1.0,1.0,2016.0,Transit,0
Kepler-309 b,5.92365634,1.553,4786.0,0.739,1.0,2.0,2014.0,Transit,1
1085.01,3.2541181,14.9476,6102.0,1.28,1.0,1.0,2016.0,Transit,0
TIC 237913194 b,15.168865,12.520453,5788.0,1.088,1.0,1.0,2020.0,Transit,1
Kepler-901 b,3.517494394,1.21,3916.0,0.51,1.0,1.0,2016.0,Transit,1
6833.01,8.2616616,3.30997,5281.0,0.86,1.0,1.0,2016.0,Transit,0
6204.01,4.0673088,13.1156,6333.0,1.24,1.0,1.0,2016.0,Transit,0
6050.01,5.4823596,15.2816665,6243.0,1.85996,1.0,1.0,2016.0,Transit,0
4326.01,1826.0790324,2.7599003,6034.49,1.07903,1.0,1.0,2016.0,Transit,0
Kepler-1846 b,14.820259,2.4,4895.16,0.754888,1.0,1.0,2021.0,Transit,1
EPIC 201754305 d,2.71578,1.03,5550.5,0.95,1.0,3.0,2019.0,Transit,1
Kepler-172 c,6.38901755,2.35,5583.0,1.007,1.0,4.0,2014.0,Transit,1
HATS-53 b,3.8537768,15.02006,5644.0,1.101,1.0,1.0,2017.0,Transit,1
3059.01,1.3934565,2.4,3301.0,0.95,1.0,1.0,2016.0,Transit,0
6298.01,2.8577028,7.78724,6240.0,1.45,1.0,1.0,2016.0,Transit,0
HD 28254 b,1333.0,2.4,5550.5,0.95,2.0,1.0,2010.0,Radial Velocity,1
6507.01,5.267165,6.02919,4930.0,0.8,1.0,1.0,2016.0,Transit,0
5695.01,2.2232698,9.36074,3157.0,0.36,1.0,1.0,2016.0,Transit,0
CoRoT-21 b,2.72474,14.5717,6200.0,1.95,1.0,1.0,2012.0,Transit,1
