pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
Kepler-1250 b,2.60755,1.9,6059.0,0.96,1.0,1.0,2016,Transit,1
HD 191939 c,28.580474,3.14550353,5555.7,0.920435,1.0,6.0,2020,Transit,1
7220.01,7.8365317,16.9425,6167.0,2.21,1.0,1.0,2016.0,Transit,0
1314.01,2.6400663,18.2671,5155.0,2.72,1.0,1.0,2016.0,Transit,0
Kepler-940 b,59.6220946208,2.44,5505.07,1.02988,1.0,1.0,2016,Transit,1
Kepler-1923 b,52.60969925,1.95958179,5881.0,1.294,1.0,1.0,2021,Transit,1
6302.01,2.8465714,12.8225,4802.0,0.83,1.0,1.0,2016.0,Transit,0
K2-273 b,11.7195663,3.05,5161.0,0.85,1.0,1.0,2018,Transit,1
3047.01,2.7020875,15.6063,7798.0,1.57,1.0,1.0,2016.0,Transit,0
DS Tuc A b,8.1387,5.63,5542.0,0.872,2.0,1.0,2019,Transit,1
2337.01,2.994263,11.5655979,4784.0,3.22859,1.0,1.0,2016.0,Transit,0
Kepler-589 c,3.52468054,1.1,5372.0,0.916,1.0,2.0,2021,Transit,1
4478.01,2.7586362,7.78435,5774.0,1.17,1.0,1.0,2016.0,Transit,0
Kepler-181 b,3.137848829,1.371,5120.0,0.784,1.0,2.0,2014,Transit,1
3270.01,6.4751256,2.44,4899.8,0.95,1.0,1.0,2016.0,Transit,0
7348.01,3.3390124,8.75979,4436.0,0.75,1.0,1.0,2016.0,Transit,0
TOI-1173 b,7.0643978,9.39131,5429.6,0.96,2.0,1.0,2024,Transit,1
Kepler-149 c,55.3285813,1.66,5529.0,0.832,1.0,3.0,2014,Transit,1
Kepler-532 b,12.92491623,2.57,5192.0,0.79,1.0,1.0,2016,Transit,1
GJ 2030 c,25533.11353,2.44,5552.0,0.95,1.0,2.0,2022,Radial Velocity,1
HD 40979 b,263.84,2.44,6139.0,1.2352,3.0,1.0,2002,Radial Velocity,1
5742.01,3.965824,7.03413,6199.0,2.8,1.0,1.0,2016.0,Transit,0
2688.01,2.1415519,4.72287,5530.0,1.48,1.0,1.0,2016.0,Transit,0
6977.01,5.0957983,1.92318,4197.0,0.7,1.0,1.0,2016.0,Transit,0
DMPP-3 A b,6.6732,2.44,5138.0,0.91,2.0,1.0,2019,Radial Velocity,1
Kepler-1620 b,101.951829,1.36,6210.0,1.054,1.0,1.0,2016,Transit,1
5954.01,10.7004569,13.1568,6906.0,2.44,1.0,1.0,2016.0,Transit,0
4525.01,2.4841975,13.3413,6089.0,1.28,1.0,1.0,2016.0,Transit,0
KIC 8121913 b,3.294601,2.44,5975.3,2.233,1.0,1.0,2021,Orbital Brightness Modulation,1
POTS-1 b,3.1606296,10.548,4400.0,0.588,1.0,1.0,2013,Transit,1
4785.01,6.4311106,11.4436,6741.0,1.45,1.0,1.0,2016.0,Transit,0
Kepler-1549 b,214.881456,2.44,5149.0,0.917362,1.0,1.0,2016,Transit,1
HD 72490 b,858.0,2.44,4934.0,4.96,1.0,1.0,2018,Radial Velocity,1
6647.01,3.9963956,3.52475,5684.0,1.52,1.0,1.0,2016.0,Transit,0
Kepler-206 d,23.4432353,0.967,5691.0,1.078,1.0,3.0,2014,Transit,1
7194.01,4.167309,12.5792,6552.0,1.59,1.0,1.0,2016.0,Transit,0
TOI-7149 b,2.65206166,13.2,3363.0,0.351,1.0,1.0,2025,Transit,1
460.01,0.5168347,6.597837,3274.0,0.273,1.0,1.0,2016.0,Transit,0
434.01,4.3888516,13.8994523,5175.0,0.877856,1.0,1.0,2016.0,Transit,0
2184.01,6.9067868,13.4176028,5731.8,3.1513801,1.0,1.0,2016.0,Transit,0
Kepler-325 c,12.76224947,3.33,5749.0,0.982,1.0,3.0,2014,Transit,1
5777.01,6.9171675,2.51967,4208.0,0.67,1.0,1.0,2016.0,Transit,0
1397.01,8.6795072,24.132,6057.0,1.14,1.0,1.0,2016.0,Transit,0
